NEWU11,1.2338,34.9943
BCRI11,13.7104,-2.0368
BPRP11,4.3023,1.846
VOTS11,11.52,4.5968
HLOG11,7.0361,4.8357
CJCT11,2.4355,3.9483
CEOC11,13.4755,-3.1129
OULG11,2.04,2.7291
BCFF11,6.7308,-2.7696
IRIM11,14.6471,-2.3061
VINO11,11.9553,-10.7755
RBDS11,0,-11.9244
RELG11,5.9645,4.4354
ATSA11,4.7409,-16.4265
RECT11,13.0144,-9.6555
BLUR11,12.4945,-3.2899
EDGA11,5.6402,-0.9808
WPLZ11,8.5785,-5.2696
SARE11,6.2815,-5.8304
EQIR11,14.751,6.8976
GLOG11,9.7449,-6.5971
PRSV11,0,-26.1461
VVCR11,10.9145,7.616
EDFO11,15.3807,-17.6193
FVPQ11,10.2507,-15.4187
BTRA11,6.4146,-6.8992
RCFF11,24.5095,12.9667
RECX11,2.7945,-6.9827
BLMG11,12.0244,-17.1002
DEVA11,18.3306,-21.871
RBRS11,0.5803,-13.3932
PRSN11B,23.4039,8.4596
VXXV11,26.5771,7.9807
HOFC11,0.8083,-8.9332
CNES11,8.6628,-23.9608
SCPF11,0,-26.2352
HCTR11,20.3161,-31.6251
RBIR11,4.3595,13.331
BTHI11,10.4837,-18.3184
VSLH11,16.3569,-23.8843
KEVE11,10.0933,16.3162
RBOP11,11.3115,-25.892
BTHI12,0,7.1298
BICR11,5.8268,-28.2314
TCIN11,0,9.3528
FIVN11,0,4.4431
BZLI11,0,5.3853
NVIF11,5.5694,
BLMO11,6.7633,-0.7228
XPCM11,0,-21.7729
CBOP11,4.32,-21.4488
HUCG11,0,0.5521
PNPR11,2.3654,-0.8011
FISC11,8.0299,
CPLG11,6.5975,
HAAA11,6.4873,-31.4531
BBFI11,60.7396,-46.3031
KCRE11,13.0079,
CTXT11,0,-35.7857
KNHF11,11.766,
TJKB11,13.4456,
VPSI11,12.3596,
ALMI11,6.1984,-13.2421
VPPR11,4.8092,-35.909
RPRI11,13.597,
VERE11,6.5991,
ELDO11,15.9881,
YUFI11,4.9477,-14.3087
JSCR11,66.6867,
BTSG11,7.1537,
HUSI11,8.1212,
SEED11,12.7419,
STRX11,6.1674,
LPLP11,18.1952,
ALZM11,12.0253,-59.2067
HCST11,0,-14.8251
IDFI11,30.3633,-45.7261
BTHF11,6.8769,
KNUQ11,12.6054,
ZIFI11,0,-19.3949
VJFD11,6.0766,
HRDF11,0,-20.6299
DOVL11B,7.3799,
FPNG11,0,
KORE11,17.5131,
CPSH11,12.7648,
RBVO11,21.9925,-23.4935
JBFO11,3.9406,
HGBL11,23.2242,
RBED11,20.5532,4.2818
CARE11,0,-32.7577
JCCJ11,3.7027,
BVAR11,6.2214,
SJAU11,43.3102,
TSNC11,10.0248,
AJFI11,11.0471,
REIT11,8.7653,
JPPC11,37.53,
ICRI11,13.7917,
MANA11,14.1403,
SRVD11,0,-24.6769
VGRI11,21.9876,
MGRI11,31.4111,
GZIT11,19.3949,
AZPL11,9.9454,
LIFE11,18.0023,
BBIG11,12.7994,
ITRI11,11.3108,
CLIN11,13.3746,
SMRE11,15.2276,
SNEL11,13.8857,
BRIP11,42.0678,
VRTM11,15.7407,
ALZC11,15.9143,
JCIN11,3.9513,
RBRI11,40.5742,
RBRX11,13.2666,
TMPS11,15.7601,
EGYR11,0,-48.4076
RZLC11,7.0584,
ARXD11,16.7541,
PMIS11,14.6465,
RCFA11,0,-48.7245
RINV11,12.9051,
WSEC11,17.9401,
SPXS11,13.3145,
VCRI11,15.4062,
WHGR11,13.847,
CIXM11,11.1726,
ZAVI11,14.5616,
ZAVC11,15.8333,
PULV11,15.5321,
TOPP11,6.5333,
HDEL11,21.7022,
TRXY11,5.5432,
BRIM11,41.2108,
SAPI11,12.8923,
PBLV11,13.3726,
VVRI11,11.8047,
EXES11,13.8593,
IDUA11,15.5478,
GRUL11,7.5366,
NCRI11,13.5222,
OBAL11,27.2639,
BTYU11,13.4498,
SNME11,12.9261,
URHF11,12.6667,
HRES11,14.792,
OCRE11,11.4398,
OUFF11,3.2992,-2.0213
ICNE11,29.2785,
DPRO11,10.5797,
PMFO11,11.7167,
PNCR11,15.1639,
BTML11,10.4469,
VGII11,11.9219,
CFII11,15.7875,
BICE11,9.0694,
LTMT11,8.8007,
HILG11,8.8952,
BTSI11,8.1689,
BIPD11,7.9849,
TORD11,0.7656,-57.1598
JASC11,7.45,
RECD11,7.8184,
OURE11,3.7916,-0.1276
PATA11,7.5652,
AROA11,7.551,
RECM11,5.8403,
IVCI11,6.5868,
BLOG11,6.5261,
RENV11,4.9367,
ISCJ11,3.6846,
MCEM11,0,
RSPD11,6.9712,
EMET11,0,
IBBP11,3.6563,
BGRB11,3.02,
SHOP11,0,
TCPF11,0,
AQLL11,0,
PNRC11,9.4908,
KFEN11,2.9318,
PNDL11,0,
SPDE11,13.2363,
GLPF11,1.56,
ORPD11,0,
FTCE11B,2.8631,
VTPL11,0,
CYLD11,0,
VIDS11,4.8972,
LKDV11,0,
GURB11,0,
COPP11,0,
DVLP11,0,
AURB11,0,
GCOI11,0,
CENU11,0,
SIGR11,0,
DVLT11,0,
BIPE11,0,
HDOF11,0,
LRDI11,0,
FLNR11,0,
RDLI11,0,
SPMO11,0,
GCDL11,0,
MINT11,0.7767,
SOLR11,0,
ASRF11,0,
INDE11,0,
SPGM11,0,
YEES11,0,
EGDB11,0,
NPAR11,0,
HOMS11,0,
BRHT11B,0,
VLJS11,0,
LLAO11,0,
MTOF11,0,
BRIX11,0,
MMVE11,0,
FISD11,0,
NAUI11,0,
CFHI11,4.0083,
MFAI11,3.7725,-3.8592
DOMC11,0,
ROOF11,0,
RBTS11,0.1592,
LSOI11,0.1176,
PABY11,0,13.6888
FOFT11,0,
SPVJ11,0,
SPAF11,0,
SHDP11B,0,
FINF11,0,
DLMT11,0,
BBIM11,0,
ANCR11B,1.4283,
MFCR11,19.167,
IDGR11,11.8089,
FAOE11,2.283,
SLDZ11,0,
SAIC11B,0,
PNLN11,0,
AZPE11,0,
BPLC11,0,
QTZD11,0,
NIVT11,0,
VTVI11,0,
ESTQ11,0,
VTPA11,0,
BRSE11,0,
HLMB11,0,
APXU11,0,
GFDL11,0,
FLFL11,0,
FRHY11,0,
EAGL11,0,
JCDB11,0,
BMII11,0,
MVFI11,0,
JCDA11,0,
VDSV11,0,
TELD11,0,
SBCL11,0,
LRED11,0,
JTPR11,0,
KRES11,0,
SALI11,0,
ATWN11,0,
KLOG11,0,
BZEL11,0,
MOFF11,0,
RTEL11,0,
PRZS11,0,
SPXG11,0,
ONDV11,0,
XBXO11,0,
RDIV11,0,
HYPI11,0,
SPXL11,0,
VTXI11,0,
EDGE11,0,
IMOV11,0,
PATB11,0,
QNTS11,0,
VTBL11,0,
KNPR11,0,
CSMC11,0,
ATCR11,0,
MMPD11,0,
CVPR11,0,
OPTM11,0,
RDCI11,0,
PCAS11,0,
RBRM11,0,
ERCR11,11.8969,
